"","Place","Name","Fairway.Hits","Parked","Circle.1","Circle.2","Scramble","Circle.1.Putting","Circle.2.Putting","SGTG","SGP","SGC1X","SGC2","OB","Score","Rating","NR"
"1",1,"Paul McBeth",86,29,65,79,29,86,44,20.94,8.02,3.48,4.54,7,226,1055,4
"2",2,"Eagle McMahon",88,14,56,78,20,87,39,15.68,8.28,5.12,3.15,8,232,1049,4
"3",2,"Ricky Wysocki",80,25,67,69,33,86,0,24.31,3.65,4.55,-0.9,12,232,1055,4
"4",4,"Calvin Heimburg",81,22,61,72,50,88,25,20.06,6.9,6.09,0.82,12,233,1050,4
"5",4,"Chris Dickerson",89,21,60,82,50,74,30,19.86,2.1,-0.55,2.65,7,233,1045,4
"6",6,"Ben Callaway",83,19,60,78,38,83,27,18.51,3.45,2.59,0.85,12,238,1013,4
"7",7,"Drew Gibson",80,17,53,68,47,82,35,16.69,5.27,2.44,2.83,13,239,1038,4
"8",8,"Gavin Rathbun",86,14,61,75,20,77,14,15.39,0.57,0.97,-0.4,9,241,1024,4
"9",9,"Andrew Presnell",81,15,51,72,33,80,13,11.99,0.97,2.1,-1.13,7,242,1028,4
"10",9,"Adam Hammes",81,17,51,69,10,85,38,9.4,6.56,3.59,2.98,10,242,1036,4
"11",9,"Paul Ulibarri",88,10,43,71,33,92,18,9.31,6.65,6.86,-0.2,10,242,1029,4
"12",9,"Zackeriath Johnson",81,14,49,72,50,88,24,10.34,5.62,4.82,0.8,10,242,1013,4
"13",13,"Ezra Robinson",79,13,46,61,38,77,36,10.83,3.13,0.51,2.61,12,246,1022,4
"14",14,"Colten Montgomery",86,17,47,72,30,73,36,8.22,2.74,-1.16,3.89,10,247,1019,4
"15",14,"Kevin Jones",80,15,44,76,31,76,37,9.58,3.38,-0.69,4.08,12,247,1034,4
"16",14,"James Conrad",81,18,40,71,50,77,30,4.64,3.32,0.6,2.72,7,247,1033,4
"17",14,"Ty Love",79,8,43,63,45,76,47,5.28,4.68,-0.03,4.71,9,247,1004,4
"18",18,"Nolan Ramser",79,14,53,65,50,81,27,14.1,0.86,2.67,-1.81,15,248,998,4
"19",18,"Casey White",79,13,46,61,38,89,38,4.49,8.47,5.14,3.33,13,248,1019,4
"20",20,"Tim Barham",80,14,33,65,33,85,31,1.32,4.64,2.42,2.22,7,249,1020,4
"21",20,"Miles Seaborn",71,17,42,57,27,79,53,6.55,6.41,0.79,5.62,14,249,1015,4
"22",22,"Anthony Barela",83,13,39,78,43,85,18,9.36,1.6,2.59,-0.99,13,250,1031,4
"23",22,"Gannon Buhr",78,14,39,68,23,78,35,3.49,4.47,0.6,3.87,10,250,1016,4
"24",22,"Garrett Gurthie",88,18,51,69,29,70,9,14.45,-3.49,-1.5,-1.99,13,250,1032,4
"25",22,"AJ Carey",84,15,40,74,30,72,15,6.45,-0.49,-0.82,0.33,8,250,1003,4
"26",26,"Alden Harris",81,14,42,65,56,68,23,6.86,-2.9,-3.36,0.47,7,251,1022,4
"27",26,"Eric Oakley",83,19,50,71,23,76,6,11.79,-1.83,0.2,-2.03,13,251,1020,4
"28",28,"Andrew Marwede",76,8,40,63,44,84,38,3.64,7.32,3.72,3.6,15,252,1031,4
"29",28,"Brodie Smith",78,21,47,67,23,81,5,11.6,-0.64,1.68,-2.32,15,252,1004,4
"30",28,"Thomas Gilbert",76,18,50,68,28,93,14,8.87,4.09,7.93,-3.84,17,252,1018,4
"31",28,"Clint Calvin",76,10,44,58,15,81,21,0.68,2.28,2.3,-0.03,7,252,1026,4
"32",32,"Joel Freeman",81,13,43,68,36,78,19,7.1,0.86,1.01,-0.15,13,253,1026,4
"33",32,"Tyler Liebman",79,10,39,61,25,78,19,3.31,1.65,1.28,0.36,10,253,1004,4
"34",34,"Chris Clemons",74,19,35,56,38,75,32,2.98,2.98,0.27,2.71,12,254,1028,4
"35",34,"Gregg Barsby",74,14,46,64,38,68,33,7.89,1.07,-2.6,3.67,15,254,1017,4
"36",34,"Jordan Castro",88,10,40,72,27,84,6,2.72,-0.76,3.14,-3.9,8,254,1018,4
"37",37,"Nate Sexton",84,11,40,72,18,72,18,8.96,-1,-1.11,0.11,15,255,1037,4
"38",37,"JohnE McCray",79,17,49,65,7,72,10,8.95,-2.99,-1.42,-1.57,13,255,1024,4
"39",37,"Mason Ford",81,13,33,65,31,76,11,4.32,-1.36,0.05,-1.42,10,255,1029,4
"40",37,"Mark Chapalonis",75,11,39,53,23,89,8,1.61,4.35,5.56,-1.21,13,255,986,4
"41",37,"Jonathan Nicholson",84,24,46,76,27,56,15,15.8,-8.84,-7.87,-0.98,14,255,1013,4
"42",43,"Nikko Locastro",84,18,47,68,23,61,12,8.13,-6.17,-5.05,-1.12,10,256,1033,4
"43",43,"Terry Rothlisberger",78,17,44,63,21,73,29,4.43,0.53,-1.01,1.53,13,256,1014,4
"44",43,"Elijah Bickel",84,1,38,69,42,77,20,0.97,-1.01,-0.87,-0.14,8,256,1024,4
"45",43,"Charles Behrhorst",80,11,42,67,18,58,14,3.61,-4.65,-4.65,0,7,256,1003,4
"46",43,"Nathan Queen",79,14,33,63,33,85,23,-1.57,3.53,2.38,1.14,10,256,1029,4
"47",48,"Jake Lauber",91,13,44,69,9,70,14,7.97,-5.01,-3.05,-1.96,12,257,1003,4
"48",48,"Kyle Giovannini",70,11,47,64,32,88,0,8.64,2.32,5.16,-2.84,20,257,1001,4
"49",50,"Noah Meintsma",73,15,46,58,30,61,42,7.1,-3.14,-6.25,3.11,14,258,1009,4
"50",51,"Trevor Harbolt",75,10,32,60,43,82,26,-4.26,4.22,1.86,2.37,11,259,1005,4
"51",52,"Justin Rosak",85,13,50,72,18,79,15,7.03,-2.07,1.54,-3.61,18,261,988,4
"52",52,"Sam Drummond",79,6,33,56,21,79,26,-1.81,2.77,1.37,1.4,14,261,998,4
"53",54,"Sam Lee",79,11,42,64,13,76,0,4.9,-5.94,-0.6,-5.34,17,264,993,4
"54",56,"Tristan Tanner",68,19,40,57,17,67,14,2.82,-3.86,-2.76,-1.1,21,270,997,4
"55",57,"Isaiah Esquivel",80,11,46,63,20,69,22,6.36,-3.87,-3.92,0.05,10,195,977,4
"56",57,"Raven Newsom",67,19,43,54,33,84,25,6.52,1.97,1.69,0.28,16,195,1019,4
"57",57,"Emerson Keith",83,6,44,72,25,74,24,5.47,-0.98,-1.61,0.63,12,195,1022,4
"58",57,"Austin Hannum",75,15,43,61,25,68,14,4.88,-3.39,-3.12,-0.27,9,195,1016,4
"59",61,"Grady Shue",75,19,39,61,42,75,0,5.54,-4.05,-0.75,-3.3,10,196,1013,4
"60",61,"Garry Patton",78,7,41,63,9,83,38,-0.25,2.74,1.26,1.48,11,196,1005,4
"61",61,"Alan Wagner",77,11,31,56,54,100,14,-6.49,5.98,7.37,-1.4,8,196,1007,4
"62",65,"Ian Burchett",77,15,35,63,20,88,11,1.79,0.7,2.77,-2.07,12,197,995,4
"63",65,"Levi Hancock",67,13,37,59,33,70,29,5.23,0.27,-1.55,1.82,15,197,996,4
"64",65,"Nate Metzler",80,6,39,56,45,76,10,1.81,-2.32,-0.91,-1.4,9,197,1010,4
"65",65,"Matthew Wolf",77,6,37,56,44,82,7,-1.12,-1.39,1.61,-3,7,197,973,4
"66",65,"Isaac Heinen",77,13,37,61,47,73,19,2.25,-1.76,-1.37,-0.39,10,197,1001,4
"67",70,"Luke Samson",73,17,46,52,19,72,36,3.84,0.65,-1.54,2.19,15,198,999,4
"68",70,"Noah Fiveash",80,15,43,63,20,76,27,3.03,0.46,-0.15,0.61,14,198,988,4
"69",70,"D.W. Hass",75,11,37,54,40,94,10,1,4.49,6.34,-1.85,16,198,975,4
"70",73,"John Jones",82,11,37,67,8,90,29,-2.72,5.21,3.01,2.21,14,199,994,4
"71",73,"Justin Bilodeau",82,9,43,69,27,70,11,3.23,-4.74,-2.63,-2.11,10,199,996,4
"72",73,"Reid Frescura",73,26,43,56,24,91,17,1.67,2.82,3.19,-0.37,16,199,1010,4
"73",76,"David Stepp",72,6,26,46,30,73,38,-6.61,2.1,-1.05,3.15,8,200,977,4
"74",76,"Brian Earhart",73,15,43,61,25,65,23,2.97,-2.48,-2.76,0.28,13,200,1018,4
"75",78,"Randon Latta",75,6,41,57,20,73,23,1.44,-0.95,-1.67,0.72,14,201,1012,4
"76",78,"Kade Filimoehala",73,15,44,59,31,63,33,0.65,-2.16,-3.8,1.64,12,201,1002,4
"77",78,"Connor O'Reilly",73,13,37,54,13,87,6,-0.77,0.26,3.14,-2.89,13,201,1015,4
"78",78,"Dallas Wrinkle",77,15,48,59,0,50,9,2.52,-8.03,-7.29,-0.75,8,201,979,4
"79",78,"Kyle Divelbiss",78,7,35,59,31,79,13,1.32,-3.82,-1.31,-2.51,11,201,978,4
"80",78,"Logan Harpool",81,13,45,72,9,62,20,3.62,-4.16,-4.52,0.36,11,201,1003,4
"81",84,"Dan Beto",73,13,35,46,19,86,30,-3.85,3.34,2.24,1.09,14,202,986,4
"82",84,"James Kulinski",68,7,26,44,56,79,8,-1.06,-0.44,0.73,-1.17,13,202,959,4
"83",84,"Cole Redalen",73,17,41,56,33,71,28,1.99,-1.5,-1.82,0.33,15,202,1010,4
"84",84,"Zach Melton",68,9,37,61,44,89,19,-1.22,3.71,3.41,0.3,17,202,1009,4
"85",84,"Aidan Brock",75,4,30,50,36,74,25,-0.57,-0.94,-1.38,0.44,13,202,979,4
"86",84,"Alexander Krause",75,11,24,61,23,83,13,-4.6,0.09,1.48,-1.38,10,202,992,4
"87",84,"Justin Farrell",80,6,30,57,33,70,19,-4.27,-1.24,-1.99,0.75,9,202,975,4
"88",84,"Marshall Blanks",72,11,35,48,25,79,10,-2.76,0.25,0.72,-0.47,12,202,994,4
"89",92,"Stephen Schroeder",77,4,30,54,31,76,21,-3.53,0.02,-0.63,0.65,12,203,1004,4
"90",93,"Gavin Babcock",73,6,33,59,38,73,13,1.9,-3.41,-2.08,-1.33,17,205,1007,4
"91",94,"Sean Swihart",77,13,31,46,21,90,14,-7,2.49,2.75,-0.26,14,206,974,4
"92",98,"Quintin Becker",65,11,24,37,31,87,18,-9.74,2.23,2.23,0,12,207,988,4
"93",98,"Ryan Orton",73,6,28,63,33,71,8,-5.42,-7.09,-2.75,-4.34,7,207,992,4
"94",98,"Trevor Wilkerson",63,4,39,52,24,84,31,-2.18,3.67,2.57,1.09,21,207,963,4
"95",102,"Collin Bailey",70,6,30,59,17,92,13,-5.84,1.33,3.75,-2.42,17,208,1018,4
"96",105,"Lance Brown",68,4,31,50,25,73,50,-9.37,2.86,-1.64,4.5,16,210,1001,4
"97",105,"Scott Conway",63,11,28,50,27,65,37,-8.05,1.54,-2.25,3.79,16,210,1008,4
"98",105,"Billy Lund",72,4,19,44,9,83,14,-11.69,0.18,1.25,-1.06,12,210,1000,4
"99",109,"Ben Llena",70,11,26,56,14,75,25,-9.42,0.91,-0.68,1.59,16,212,973,4
"100",110,"Billy Engel",72,7,37,56,6,68,6,-1.9,-5.61,-3.11,-2.5,18,213,965,4
"101",110,"Robert Centala",68,2,24,41,17,79,21,-9.3,-0.21,0.6,-0.8,16,213,973,4
"102",110,"William Lister",70,6,26,44,17,79,29,-9.43,1.92,0.7,1.22,18,213,959,4
"103",110,"Matt Vassil",73,6,22,44,8,80,11,-12.62,-1.89,0.83,-2.72,11,213,962,4
"104",114,"Peter Bures",63,15,31,48,33,54,4,-4.98,-9.53,-5.52,-4.01,13,215,984,4
"105",114,"Douglas Ferrio",67,4,20,43,24,70,21,-11.6,-1.91,-2.82,0.91,14,215,972,4
"106",114,"Maximus Meyer",73,4,20,48,15,65,15,-9.85,-4.66,-3.06,-1.6,13,215,985,4
"107",117,"Patrick McReynolds",68,6,22,35,19,62,0,-12.37,-4.14,-3.27,-0.88,13,217,965,4
"108",117,"Justin Larson",67,7,15,48,22,75,23,-8.36,-1.15,-0.56,-0.58,20,217,958,4
"109",119,"Jared Stoll",68,11,30,50,29,70,10,-3.75,-6.76,-3.72,-3.04,20,218,975,4
"110",119,"Christian Olsen",72,9,22,43,19,85,14,-14.46,-0.05,2.17,-2.22,17,218,989,4
"111",121,"A.J. Cruz",68,0,24,35,0,58,31,-13.66,-2.85,-4.55,1.7,15,219,976,4
"112",121,"Dylan Brogren",60,6,28,43,21,69,14,-8.38,-4.13,-2.69,-1.44,19,219,943,4
"113",124,"Ross Marshall",62,4,13,33,15,80,0,-19.66,-1.85,0.48,-2.33,11,220,974,4
"114",124,"Andrew Cornwell",65,0,7,19,14,90,30,-25.64,4.13,2.75,1.37,11,220,980,4
"115",126,"Josiah Griffin",75,6,19,43,15,50,11,-11.81,-6.7,-5.47,-1.23,15,221,972,4
"116",127,"William Schram",63,6,13,35,21,71,21,-15.33,-1.18,-1.26,0.08,18,222,977,4
"117",127,"Drew Cantrell",63,4,20,37,18,72,29,-15.77,0.26,-1.58,1.84,19,222,968,4
"118",127,"Truyn Mosher",70,2,11,50,7,100,25,-20.52,6.01,2.38,3.63,20,222,955,4
"119",130,"Maverick Robertson",55,0,13,22,13,77,25,-22.45,0.94,-0.29,1.23,20,229,968,4
"120",130,"Shawn Sullivan",62,0,7,26,13,56,11,-24.59,-3.92,-3.44,-0.47,13,229,968,4
"121",132,"Tyler Lamm",63,7,19,30,6,76,15,-27.09,-1.42,-0.49,-0.92,15,231,940,4
"122",133,"Josh Bergquist",71,8,32,49,0,56,20,-19.48,-3.49,-3.77,0.29,14,236,958,4
"123",134,"Carlton Reynolds",65,0,6,22,0,67,20,-20.92,-2.9,-1.19,-1.71,15,245,956,4
"124",135,"Anthony Angel",50,5,16,19,14,81,8,-23.76,-0.21,0.75,-0.96,27,253,937,4
